Type,Price,Amount,Balance,BTC
Sell,38952000.0,0.002543199982282119,10168572.961423809,0.002543199982282119
Sell,39000000.0,0.0012715999911410594,10218140.564878482,0.0012715999911410594
Sell,39017000.0,0.0006357999955705297,10242935.169801444,0.0006357999955705297
Sell,39064000.0,0.00031789999778526485,10255347.40609217,0.00031789999778526485
Sell,39070000.0,0.00015894999889263243,10261554.477460677,0.00015894999889263243
Buy,38380000.0,0.006684866428486105,10004860.957175238,0.006843816427378737
Buy,38380000.0,0.006684866428486105,9748167.4368898,0.013528682855864843
Buy,38328000.0,0.006693935856953056,9491473.91660436,0.0202226187128179
Sell,39150000.0,0.01011130935640895,9887133.74902712,0.01011130935640895
Sell,39119000.0,0.005055654678204475,10084807.018306123,0.005055654678204475
Sell,39139000.0,0.0025278273391022375,10183694.184214134,0.0025278273391022375
Sell,39452000.0,0.0012639136695511187,10233533.17434422,0.0012639136695511187
Sell,39470000.0,0.0006319568347755594,10258464.038944677,0.0006319568347755594
Sell,39483000.0,0.0003159784173877797,10270933.576910472,0.0003159784173877797
Buy,39004000.0,0.0065879001326188584,10013850.57863867,0.006903878550006638
Buy,37504000.0,0.006851388032547622,9756767.580366867,0.01375526658255426
Buy,37504000.0,0.006851388032547622,9499684.582095064,0.02060665461510188
Buy,37504000.0,0.006851388032547622,9242601.583823262,0.027458042647649502
Buy,37504000.0,0.006851388032547622,8985518.58555146,0.03430943068019712
Buy,37504000.0,0.006851388032547622,8728435.587279657,0.04116081871274475
